Name,Manufacturer Name,Product Family Name,Product Name,Software Acquisition Method,GUID,Description,Link 1
Google Analytics,Google,,Analytics,Commercial-off-the-Shelf (COTS),cf35d9e1-16b6-11e5-2a04-005056976851,,https://www.google.com
Google Chrome,Google,,Chrome,Commercial-off-the-Shelf (COTS),d29a9730-b06c-11e3-74c2-005056975ac8,Web browser,https://www.google.com
Greenshot Greenshot,Greenshot,,Greenshot,Commercial-off-the-Shelf (COTS),c850a601-c399-11e6-2a04-005056976851,Windows screen capture utility.,http://getgreenshot.org/downloads/
Hyland OnBase,Hyland,OnBase,OnBase,Commercial-off-the-Shelf (COTS),9701b960-8a54-11ea-4383-005056bd33fb,,https://www.onbase.com/en/
IBM Data Facility Hierarchical Storage Manager (DFHSM),IBM,,Data Facility Hierarchical Storage Manager (DFHSM),Commercial-off-the-Shelf (COTS),824eaeb1-77b5-11e7-2a04-005056976851,Hierarchical storage management (HSM) provides an automatic way of managing and distributing data between the different storage layers in order to meet the users' needs for accessing data while minimizing the overall cost.,https://www.ibm.com/
IBM Security AppScan,IBM,Rational,Security AppScan,Commercial-off-the-Shelf (COTS),24b2fe51-c23e-11e6-2a04-005056976851,"IBM Security AppScan Enterprise enables organizations to mitigate application security risk, strengthen application security program management initiatives and achieve regulatory compliance.",http://www-03.ibm.com/software/products/en/appscan-enterprise
Idera ER/Studio Data Architect 18 (18.2),Idera,ER/Studio,Data Architect,Commercial-off-the-Shelf (COTS),06f346d0-88bb-11ea-4383-005056bd33fb,,https://www.idera.com/
Idera ER/Studio Software Architect 18 (18.0),Idera,ER/Studio,Software Architect,Commercial-off-the-Shelf (COTS),06f801c1-88bb-11ea-4383-005056bd33fb,,https://www.idera.com/
Igloo Software Igloo,Igloo Software,,Igloo,Commercial-off-the-Shelf (COTS),03951340-ab8d-11e8-4383-005056bd33fb,AFWeb replacement,https://www.igloosoftware.com
Igor Pavlov 7-Zip,Igor Pavlov,,7-Zip,Commercial-off-the-Shelf (COTS),289f8bb0-3dbf-11e4-74c2-005056975ac8,File compression archive utility.,https://www.7-zip.org/
iGrafx FlowCharter Desktop Client,iGrafx,iGrafx,FlowCharter Desktop Client,Commercial-off-the-Shelf (COTS),b1467e90-218d-11e4-74c2-005056975ac8,Processing modeling and analysis tool,https://www.igrafx.com/
Inedo ProGet,Inedo,,ProGet,Commercial-off-the-Shelf (COTS),2b0467d1-1c18-11e5-2a04-005056976851,"Package Management Server for NuGet, Chocolatey, OneGet & npm.",https://inedo.com/
Infosys VPAS Customer Service Work Desk (CSWD),Infosys,McCamish,VPAS Platform,Commercial-off-the-Shelf (COTS),e19c5360-6bc5-11eb-678f-005056bd83df,"VPAS CSWD blends the flexibility and configurability of the leading Business Process Management (BPM) software from Pegasystems, with the comprehensive VPAS® Policy Administration System from Infosys McCamish to create a powerful and unique web-based customer service platform to enhance operational excellence and customer experience.",https://www.infosysbpm.com/mccamish/platforms/vpas-platform/
Infosys VPAS Platform 5.6,Infosys,McCamish,VPAS Platform,Commercial-off-the-Shelf (COTS),1765c328-4bac-11e3-74c2-005056975ac8,"Supports many types of life insurance and annuities products and markets. Includes policy administration for such functions as new business setup, agent/agency definition, billing, remittance, surrenders, loans, investments, and so forth, compliance testing and undo/redo capability.",https://www.infosysbpm.com/mccamish/platforms/vpas-platform/
Intuit QuickBooks,Intuit,QuickBooks,QuickBooks,Commercial-off-the-Shelf (COTS),9420af21-1b90-11e7-2a04-005056976851,Financial and accounting.,https://www.intuit.com/
Intuit TurboTax,Intuit,TurboTax,TurboTax,Commercial-off-the-Shelf (COTS),0880f9f4-67c5-11ea-4383-005056bd33fb,,https://www.intuit.com/
Ivanti Application Manager Console,Ivanti,,Application Manager,Commercial-off-the-Shelf (COTS),3ef1cf40-1495-11ec-678f-005056bd83df,,https://www.ivanti.com/
Ivanti Environment Manager Console,Ivanti,,Environment Manager,Commercial-off-the-Shelf (COTS),cb91d960-a565-11e3-74c2-005056975ac8,User Profile Management,https://www.ivanti.com/
Jenkins CI Jenkins,Jenkins CI,,Jenkins,Commercial-off-the-Shelf (COTS),2e7b9570-9e45-11e3-74c2-005056975ac8,Continuous Integration,https://jenkins.io/
JetBrains ReSharper,JetBrains,,ReSharper,Commercial-off-the-Shelf (COTS),acff8c00-2962-11e4-74c2-005056975ac8,Code inspection too for visual studio   ,https://www.jetbrains.com
